date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
5/27/2011,2.5,0,2,5,1:38:00
5/27/2011,0,0,0,0,1:37:00
5/3/2011,0.333333333,0,1,1,10:45:00
5/3/2011,0.272727273,0,1,3,10:44:00
5/3/2011,0,0,0,0,10:44:00
5/3/2011,1,0,1,1,10:43:00
5/3/2011,0,0,0,0,10:43:00
5/3/2011,2,0,1,4,10:43:00
5/3/2011,0,0,0,0,10:42:00
5/3/2011,0,0,0,0,10:42:00
5/3/2011,0.428571429,0,1,3,10:29:00
5/3/2011,1,0,1,1,10:28:00
5/3/2011,0,0,0,0,10:27:00
5/3/2011,0,0,0,0,10:27:00
5/3/2011,0,0,0,0,10:26:00
5/3/2011,2.5,0,2,5,10:26:00
5/3/2011,0,0,0,0,10:25:00
5/3/2011,0,0,0,0,10:25:00
5/3/2011,0,0,0,0,10:25:00
4/14/2011,0,0,0,0,12:29:00
4/14/2011,0,0,0,0,12:21:00
4/14/2011,0,0,0,0,12:19:00
4/14/2011,0,0,0,0,12:19:00
4/11/2011,1,0,1,1,10:41:00
4/11/2011,4,0,1,4,10:41:00
4/11/2011,0,0,0,0,9:07:00
4/11/2011,0.5,0,1,1,9:07:00
4/11/2011,0,0,0,0,9:01:00
4/11/2011,2,0,1,2,9:01:00
4/11/2011,0,0,0,0,9:01:00
4/11/2011,0,0,0,0,8:59:00
4/11/2011,-0.5,1,0,-4,8:52:00
4/11/2011,0,0,0,0,8:51:00
4/11/2011,0.166666667,0,1,1,8:51:00
4/11/2011,0.111111111,0,1,1,8:51:00
4/11/2011,0.5,0,1,1,8:49:00
4/11/2011,0.25,0,1,1,8:46:00
4/11/2011,0,0,0,0,8:43:00
4/11/2011,3,0,1,3,8:43:00
4/11/2011,0,0,0,0,8:42:00
4/11/2011,0,0,0,0,8:42:00
5/23/2014,-0.545454545,2,0,-6,3:11:00
5/23/2014,-0.181818182,1,0,-2,3:11:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,1,1,0,3:10:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,0,0,0,3:10:00
5/23/2014,0,0,0,0,3:09:00
5/23/2014,0,0,0,0,3:09:00
5/23/2014,-0.117647059,1,0,-2,3:09:00
5/23/2014,0,0,0,0,3:08:00
5/23/2014,0,0,0,0,3:08:00
5/23/2014,0,0,0,0,3:08:00
5/23/2014,0,0,0,0,3:08:00
5/23/2014,0.5,0,1,1,3:08:00
9/17/2011,0.181818182,1,2,2,9:17:00
9/17/2011,0.04,1,3,2,9:17:00
9/17/2011,0,0,0,0,9:16:00
9/17/2011,1,0,1,1,9:15:00
9/17/2011,0,0,0,0,9:15:00
9/17/2011,0,0,0,0,9:14:00
9/17/2011,0,0,0,0,9:14:00
9/17/2011,0,0,0,0,9:13:00
9/17/2011,0.214285714,0,1,3,9:10:00
9/17/2011,2,0,1,2,9:10:00
9/17/2011,0,0,0,0,9:09:00
9/17/2011,0.666666667,0,1,2,9:09:00
9/17/2011,0,0,0,0,9:09:00
9/17/2011,0,0,0,0,9:08:00
4/13/2011,0,0,0,0,11:29:00
4/13/2011,3,0,1,3,11:29:00
4/13/2011,1,0,1,1,11:28:00
4/13/2011,0,0,0,0,11:28:00
4/13/2011,1.5,0,1,3,11:28:00
4/13/2011,0,0,0,0,11:28:00
3/24/2011,0.333333333,0,1,3,12:08:00
3/24/2011,0.2,0,1,2,12:04:00
3/24/2011,0,0,0,0,12:04:00
3/24/2011,0.2,0,1,1,12:04:00
3/24/2011,0.142857143,0,1,1,12:04:00
3/24/2011,0.2,0,1,1,12:04:00
3/24/2011,0,0,0,0,12:03:00
3/24/2011,0.052631579,0,1,2,12:01:00
3/24/2011,0.131578947,0,4,5,12:00:00
3/23/2011,0,0,0,0,11:52:00
3/23/2011,0.333333333,0,6,12,11:52:00
3/23/2011,0,0,0,0,11:41:00
3/23/2011,0.038461538,0,1,1,11:41:00
3/23/2011,0,0,0,0,11:40:00
3/23/2011,0.125,0,1,2,11:38:00
3/23/2011,0,0,0,0,11:38:00
3/23/2011,0,0,0,0,11:38:00
3/23/2011,0.125,0,4,6,11:37:00
3/23/2011,0,0,0,0,11:36:00
3/23/2011,0,0,0,0,11:36:00
3/23/2011,0.416666667,0,2,5,11:36:00
3/23/2011,0.069767442,0,2,3,11:33:00
3/23/2011,0.333333333,0,4,11,11:32:00
3/23/2011,0.272727273,0,1,3,11:25:00
3/23/2011,0,0,0,0,11:25:00
3/23/2011,0,0,0,0,11:25:00
3/23/2011,0,0,0,0,11:25:00
3/23/2011,0.166666667,0,1,1,11:24:00
3/23/2011,0.5,0,3,6,11:24:00
3/23/2011,0,0,0,0,11:20:00
3/23/2011,0.222222222,0,1,2,11:20:00
3/23/2011,0.176470588,0,1,3,11:20:00
3/23/2011,1.5,0,2,6,11:20:00
3/23/2011,0,0,0,0,11:16:00
3/23/2011,0.714285714,0,2,5,11:16:00
3/23/2011,0,0,0,0,11:16:00
3/23/2011,0,0,0,0,11:16:00
3/23/2011,0,0,0,0,11:15:00
3/23/2011,0,0,0,0,11:14:00
3/23/2011,0,0,0,0,11:11:00
3/23/2011,0.125,0,1,1,11:10:00
3/23/2011,0.2,0,1,2,11:10:00
3/23/2011,-1,1,0,-1,11:10:00
3/23/2011,3,0,1,3,11:10:00
3/23/2011,3,0,1,3,11:07:00
3/23/2011,0,0,0,0,11:07:00
3/23/2011,0,0,0,0,11:06:00
3/23/2011,0,0,0,0,11:06:00
3/23/2011,0,0,0,0,11:06:00
3/23/2011,0,0,0,0,11:06:00
3/23/2011,0,0,0,0,11:06:00
3/23/2011,0,0,0,0,11:03:00
3/23/2011,0,0,0,0,11:03:00
3/23/2011,0,0,0,0,11:03:00
3/23/2011,1.333333333,0,1,4,11:03:00
3/23/2011,1,0,1,1,11:03:00
3/23/2011,0,0,0,0,11:01:00
3/23/2011,0,0,0,0,11:01:00
3/23/2011,0,0,0,0,11:01:00
3/23/2011,0,0,0,0,11:00:00
12/22/2011,0,0,0,0,1:51:00
12/22/2011,0,0,0,0,1:51:00
